TF	target	importance
COX7C	SCGB3A2	30.395229967693613
SCGB3A2	COX7C	25.083345787075707
HSPE1	COX7C	23.538076621673213
FTL	COX7C	23.11042741560226
SCGB3A2	HSPE1	22.84864255971066
TXN	HSPE1	22.360310245701672
SCGB3A2	UGP2	22.07321105165203
SCGB3A2	DNMT3B	21.884901138638636
UGP2	SCGB3A2	21.77006418158715
HSPE1	SCGB3A2	21.365107046693737
COX7C	HSPE1	20.8873556980041
SLIRP	SCGB3A2	20.65366855940173
HSPE1	SLIRP	19.226725277471594
SCGB3A2	CD24	18.472711860507317
NME2	HSPE1	18.367112564882575
TXN	SCGB3A2	18.168865106867525
HSPE1	TXN	17.862600966386616
CD24	SNRPN	17.348215203413396
HSPE1	NME2	17.02982412111929
POU5F1	CD24	16.996439068759848
SCGB3A2	L1TD1	16.223534317674208
L1TD1	UGP2	16.059489579077454
SCGB3A2	SLIRP	16.04298652323075
COX7C	FTL	15.546191434449986
L1TD1	SCGB3A2	15.542207422648536
POMP	DNMT3B	15.252534524617184
L1TD1	POU5F1	15.213071306558335
TXN	CD24	14.809132996211467
UGP2	TERF1	14.792900113940584
SCGB3A2	SNRPN	14.56116790957812
DNMT3B	POU5F1	14.185878943978325
FTL	HSPE1	14.075481013473304
SLIRP	HSPE1	14.066475516734418
SNRPN	CD24	13.605181566714862
DNMT3B	UGP2	13.56635487999917
TXN	UGP2	13.303507556947883
SCGB3A2	TERF1	13.259136123499733
COX7C	SLIRP	13.177241216207703
UGP2	POU5F1	13.04793476607141
COX7C	TXN	13.024822371365287
UGP2	DNMT3B	12.915489325858422
COX7C	L1TD1	12.796037990674686
SNRPN	SCGB3A2	12.57310368000987
SLIRP	TERF1	12.429059317262936
UGP2	L1TD1	12.402466452331852
SCGB3A2	MAP1B	12.332895287821934
CD24	TXN	12.330844726622995
MAP1B	SLIRP	12.149004339680815
UGP2	SEPHS1	11.980796159046605
POU5F1	DNMT3B	11.936266275604387
COX7C	SNRPN	11.871060535940218
TXN	POU5F1	11.822526149521723
TDGF1	HSPE1	11.638547283752702
SCGB3A2	POMP	11.589033352325822
MAGED4	MAP1B	11.476509607906603
FTL	SLIRP	11.437888153778092
HSPE1	FTL	11.432373580977933
L1TD1	DNMT3B	11.301067142601669
MARCKS	VIM	11.219529902204473
MAP1B	VIM	10.78215941733148
POU5F1	L1TD1	10.712290594108573
POU5F1	UGP2	10.634727778623704
DNMT3B	POMP	10.60053506346992
CD24	COX7C	10.590045461991537
TDGF1	VIM	10.548333902698081
TERF1	L1TD1	10.534228818870645
TERF1	SCGB3A2	10.508686343495885
UGP2	SLIRP	10.492378734960706
UGP2	DPPA4	10.403813730083213
UGP2	CD24	10.381631606638932
POMP	HSPE1	10.261076099997831
HSPE1	TMSB4X	10.186506035758283
CD24	SCGB3A2	10.167659823835425
CCDC86	MAP1B	10.0218123665185
CD24	DNMT3B	9.980550407463072
SNRPN	UGP2	9.962029407805538
COX7C	DNMT3B	9.94175103476072
SCGB3A2	DPPA4	9.941325242746894
SCGB3A2	FTL	9.893889548749522
COX7C	DPPA4	9.832667087106408
CD24	POU5F1	9.606571877318755
L1TD1	SLIRP	9.60087073009812
COX7C	CD24	9.567268549328933
TXN	SLIRP	9.488637452193043
L1TD1	TERF1	9.429760264783793
DNMT3B	CD24	9.27456095525582
TDGF1	SCGB3A2	9.269350643755063
POMP	UGP2	9.25518641020111
SCGB3A2	NME2	9.23962276941545
UGP2	TXN	9.147211854270774
CDH2	POU5F1	9.10781177472084
SEPHS1	HSPE1	8.920227299840839
APOE	VIM	8.837460389653366
SLIRP	UGP2	8.798801147285394
COX7C	POU5F1	8.768154110179168
SMIM7	HSPE1	8.709222264546849
SLIRP	COX7C	8.661738466856404
FTL	FZD3	8.657551196596126
COX7C	UGP2	8.633733413954381
PMAIP1	TERF1	8.58020536766985
