TF	target	importance
PRDX1	FTL	32.09229421466052
FTL	PRDX1	23.045129418620242
CD24	FTL	22.520276691354226
KRT18	TERF1	20.20106844661787
PRDX1	APOE	18.3476531329316
FTL	KRT18	18.25641872852778
PRDX1	CD24	17.47238161932003
HSPE1	FTL	16.19977449637531
APOE	PRDX1	15.76361878266207
APOE	FTL	15.6957207705491
POU5F1	CD24	15.617444518540648
FTL	POU5F1	15.52053913877377
DNMT3B	FTL	14.837031339747792
POU5F1	FTL	14.715230164054212
FTL	MARCKS	14.688675448537492
PRDX1	TERF1	14.684086755099779
FTL	DNMT3B	14.302049298846713
TUBA1A	MARCKS	14.128980119196095
FTL	TERF1	13.972370828722873
TERF1	FTL	13.426148896490139
APOE	MARCKS	13.10503603834737
FTL	TXN	12.970817559307998
POU5F1	KRT18	12.920430465619093
FTL	CD24	12.724440204360835
TERF1	KRT18	12.554635634657348
APOE	DNMT3B	12.50913602972806
POU5F1	TUBA1A	12.30584335812805
POU5F1	MARCKS	12.02143506741225
PRDX1	KRT18	11.775483898965616
KRT18	FTL	11.722306764225335
CD24	PRDX1	11.619964917220905
L1TD1	FTL	11.54704611397159
CD24	TERF1	11.50133522526341
PRDX1	HSPE1	11.465794288293303
PRDX1	MARCKS	11.434811968460341
APOE	KRT18	10.84547268384509
TERF1	L1TD1	10.255086793683784
POU5F1	L1TD1	10.103832860875892
HSPE1	PRDX1	10.084804469920092
FTL	L1TD1	9.91261818400962
TERF1	CD24	9.897015240933763
KRT18	PTN	9.707266211717263
APLF	POMP	9.669523262405864
KRT18	MARCKS	9.4117915747537
L1TD1	TERF1	9.34442282638675
CD24	TXN	9.344123004292452
FTL	APOE	9.23009895993424
WLS	MARCKS	9.22595481607537
TDGF1	FTL	9.108748680857998
CD24	APOE	9.106794179990528
MARCKS	TUBA1A	8.963671166721296
UGP2	POU5F1	8.919319062023332
KRT18	PRDX1	8.909585189861318
TERF1	TUBA1A	8.858978573082876
APOE	ACTG1	8.756466392083292
ONECUT2	STMN2	8.752822115603331
TERF1	MARCKS	8.598091597002728
TXN	MARCKS	8.232922930304124
PTN	POU5F1	8.130995121902888
KRT18	DNMT3B	8.094858319504937
TDGF1	TERF1	8.071434212151008
FTL	SLIRP	8.061287227146488
MIEF1	MARCKS	7.932775157259097
CD24	POU5F1	7.905086743603434
POU5F1	DNMT3B	7.881462417011769
APOE	TUBA1A	7.818834171875902
KRT18	POU5F1	7.782335689997863
POU5F1	TERF1	7.75951050811869
SLIRP	CD24	7.737670101427295
CD24	L1TD1	7.684689031076819
SLIRP	POMP	7.622141201255911
PRDX1	DNMT3B	7.532468574394271
HSPE1	CD24	7.455622377276523
POU5F1	TXN	7.441858349632753
UGP2	DNMT3B	7.389915612200193
PTN	L1TD1	7.327016370815359
FTL	WLS	7.249112552303481
SLIRP	TUBA1A	7.223907761137527
ACTG1	APOE	7.093466482797782
NME2	HSPE1	7.064191906125914
FTL	HSPE1	6.929414367646391
POU5F1	DPYSL5	6.851631389066189
SNRPN	TXN	6.8513775765383755
TDGF1	L1TD1	6.748973867665816
MARCKS	TXN	6.545653173908491
KRT18	TUBA1A	6.4616038179369335
POU5F1	PTN	6.419259056821797
TXN	PRDX1	6.374549555831794
L1TD1	CD24	6.245553398572032
PRDX1	ANXA2	6.2165094091864095
ANXA2	FTL	6.165748963372415
POU5F1	APOE	6.161968633613616
DNMT3B	KRT18	6.151368822028897
TDGF1	TXN	6.1387799669774035
FZD3	DPYSL5	6.123494379452549
PRDX1	POU5F1	6.075484304090721
COX7C	PRDX1	6.04200968097954
FTL	PTN	6.029896085077908
APOE	CD24	5.942406826334397
POMP	SLIRP	5.936925867156348
