TF	target	importance
SPP1	MT2A	45.371936211933196
MT2A	SPP1	38.04587602307753
HSPE1	AP1S2	31.099108461158256
SLIRP	AP1S2	28.838715620524304
AP1S2	MT2A	27.37526146480806
VIM	LUM	26.540632820628872
SPP1	POU5F1	26.07098214898273
SPP1	AP1S2	25.8130006900924
HSPE1	MT2A	24.789749865666824
COX7C	POU5F1	24.311633123210555
MT2A	POU5F1	23.323382167337357
DNMT3B	SPP1	23.311519688804662
SPP1	MAP1B	22.22196713864168
SPP1	DNMT3B	22.105225937051415
PRDX1	COX7C	21.750892726834866
COX7C	PRDX1	21.7378451483095
TXN	SPP1	21.615817350584937
PRDX1	HSPE1	21.596492133355735
TXN	TMSB10	21.104553324270405
AP1S2	DNMT3B	20.958495574871822
HSPE1	SPP1	20.65398904830039
AP1S2	SPP1	20.434165702495616
HSPE1	TXN	20.420333889682805
TXN	HSPE1	20.219630228608754
MARCKS	VIM	20.19208126618324
TMSB10	TXN	19.882595555898796
VIM	MARCKS	19.877517630560842
MT2A	TERF1	19.705447436508344
DNMT3B	TXN	19.65051390219737
DNMT3B	F11R	19.227631373205526
DCN	LUM	19.12221442065746
LUM	VIM	19.095041263841242
MT2A	TMSB10	18.63497396070592
COX7C	FTL	18.423505633915607
MT2A	DNMT3B	18.212350131037823
SLIRP	CHCHD2	17.78532520736462
CD24	LUM	17.767021496445906
PRDX1	MT2A	17.66635730044445
MT2A	TXN	17.65645140206586
AP1S2	SLIRP	17.638350095432823
MT2A	MAP1B	17.598557672549603
TERF1	MT2A	16.840255252925925
HMGA2	PTN	16.76339111880587
MT2A	AP1S2	16.663954798381408
HSPE1	PRDX1	16.612778996227572
TUBA1A	MAP1B	16.602565218493844
AP1S2	MEST	16.071883279044794
TMSB4X	TMSB10	15.947168579405263
SFRP2	VIM	15.880500810599141
SPP1	COX7C	15.840562108785855
SPP1	HSPE1	15.722142136791438
VIM	SFRP2	15.56182566065773
SPP1	TXN	15.495916538525195
DNMT3B	MT2A	15.324920208845704
MARCKS	SFRP2	15.018609834053017
HSPE1	SLIRP	14.993434095879694
POU5F1	MT2A	14.90423837384277
MT2A	COX7C	14.83331977347486
SPP1	L1TD1	14.82277718374937
FTL	COX7C	14.60047341602402
TXN	COX7C	14.553406167295527
MAP1B	SPP1	14.278941918678711
HSPE1	COX7C	14.273704785225913
VIM	CD24	14.262320288470203
PRDX1	TMSB10	14.108025804560441
COX7C	SLIRP	14.034942192297262
SLIRP	PRDX1	13.798034471964941
CD24	COX7C	13.498672695898717
HSPE1	FTL	13.463838478368062
TXN	AP1S2	13.462644283782161
LUM	SFRP2	13.434317525019733
DNMT3B	MAP1B	13.3644861393012
SLIRP	POU5F1	13.338736082524374
PRDX1	TERF1	13.233274767151567
SLIRP	FTL	13.229585729536238
SPP1	CHCHD2	13.082685905766626
COX7C	HSPE1	13.029932803553326
TMSB4X	ACTG1	12.992279421560669
COL3A1	LUM	12.89200017424446
SFRP2	MARCKS	12.887671080367692
DPPA4	MAP1B	12.775697368084545
MT2A	HSPE1	12.756936122188863
SPP1	MEST	12.731661435512699
COX7C	MT2A	12.686128566782948
SPP1	PRDX1	12.649508420003984
COX7C	TMSB10	12.601068491125492
SPP1	TERF1	12.554711784528854
TXN	POMP	12.467623956294075
TXN	MT2A	12.372993715384213
SLIRP	HSPE1	12.254219582825046
VIM	DCN	12.223024847704735
TXN	UGP2	12.191661931039338
HSPE1	DNMT3B	11.981412752314286
PABPC1	GREB1L	11.879816631655622
AP1S2	POU5F1	11.815611336136449
DNMT3B	UGP2	11.793489363492426
POU5F1	SPP1	11.788601397975102
L1TD1	MEST	11.787570894732838
TERF1	CD24	11.707260708326086
TMSB10	TMSB4X	11.703350974402706
