TF	target	importance
COL3A1	LUM	54.17211816652275
COL3A1	VIM	51.93060721542352
DCN	LUM	37.68646556743909
LUM	COL3A1	35.805815910393825
VIM	COL3A1	34.94895483785251
HSPE1	VIM	34.18320801283502
VIM	LUM	32.396620618742375
DCN	VIM	27.99669038571782
LUM	VIM	27.10686732668112
SLIRP	COX7C	25.116276258041356
COX7C	SLIRP	25.01066009469547
VIM	DPPA4	24.789660413528722
PABPC1	LUM	24.58625961027351
LUM	DCN	24.305755061003495
VIM	HSPE1	20.964079787287456
HSPE1	POU5F1	20.102161326140145
POU5F1	VIM	19.407747190499617
TDGF1	VIM	19.28036241646066
HSPE1	COX7C	19.1069208486068
HSPE1	CD24	18.286789859529026
DCN	COL3A1	17.346065980772636
VIM	DCN	17.188476121191872
DNMT3B	POU5F1	16.996301038251083
UGP2	PABPC1	16.76668275187299
DNMT3B	VIM	16.605785911902018
PABPC1	COL3A1	16.476092037245326
COX7C	TMSB10	16.393459983084643
HSPE1	DNMT3B	16.137240597735797
DPPA4	DNMT3B	15.759292159733407
HSPE1	CHCHD2	15.208689586540814
APOE	DNMT3B	15.191574815343847
TXN	SLIRP	14.491958372125247
LIN28A	VIM	14.363304321748611
DPPA4	VIM	14.081234803380909
POU5F1	DNMT3B	13.843771566272654
COL3A1	DCN	13.814711735208245
VIM	TDGF1	13.702867397928543
SLIRP	TXN	13.346822869021675
SLIRP	TMSB10	13.070449847413599
VIM	TERF1	12.644036840137739
HSPE1	SERPINB6	12.613196361502842
APOE	LIN28A	12.57916895417646
DNMT3B	SERPINB6	12.448254619787498
ACTG1	TMSB10	12.261028561186277
COX7C	HSPE1	12.21657648126636
PABPC1	DCN	12.150022337616088
HSPE1	DPPA4	12.138121572485804
VIM	DNMT3B	12.068132741675281
DPPA4	COX7C	12.02785555928982
VIM	SERPINB6	11.82093329336756
VIM	POU5F1	11.77036289882
VIM	LIN28A	11.724072052713806
TXN	TMSB10	11.549231742107287
SLIRP	CD24	11.489785978339063
LUM	PABPC1	11.448150048389666
HSPE1	SLIRP	11.334820322010954
SEPHS1	LIN28A	11.215365568354857
TMSB10	TXN	11.053230075548115
SEPHS1	VIM	11.008816640099143
UGP2	DPPA4	11.004805964998287
SLIRP	HSPE1	10.861232086648352
COL3A1	RBP1	10.836245921403842
TDGF1	TUBA1A	10.80865647276088
TMSB10	COX7C	10.458464251416029
COL3A1	PABPC1	10.42777265450894
TMSB10	SLIRP	10.375864139865223
HSPE1	SEPHS1	10.09582375295331
RBP1	COL3A1	10.091620636463118
HSPE1	PABPC1	9.989580252067109
LIN28A	PABPC1	9.657806193576103
VIM	COX7C	9.434142886303759
SEPHS1	POU5F1	9.336449261662128
DPPA4	SLIRP	9.29898902961538
COL3A1	SNRPN	9.189140657995255
HMGA2	TUBA1A	9.155166407327535
TDGF1	SERPINB6	9.155143500777854
MAMDC2	POU5F1	9.034507326591308
SERPINB6	POU5F1	8.983417718491394
PTN	POU5F1	8.857046852904041
TUBA1A	TDGF1	8.808020199768794
PABPC1	CCDC153	8.771442819116647
HSPE1	LIN28A	8.726720534668491
APOE	HSPE1	8.720381763540596
TXN	COX7C	8.601128381796709
DNMT3B	DPPA4	8.466108056817362
HSPE1	COL3A1	8.41130519576385
PABPC1	MARCKS	8.287395876423496
HMGA2	POU5F1	8.277959434336207
POU5F1	SEPHS1	8.271183134285996
RBP1	VIM	8.261647759799642
COX7C	DNMT3B	8.168601249417748
COX7C	TXN	8.097606709176247
VIM	TUBA1A	8.06907732026071
SERPINB6	DPPA4	8.067319036886586
HSPE1	TERF1	7.886350588734086
VIM	SEPHS1	7.880156844559158
TDGF1	DPPA4	7.878244080954916
KRT18	PABPC1	7.854580554389913
SLIRP	CHCHD2	7.756285652305231
COX7C	APOE	7.752536638383095
